date,market,channel,impressions,clicks,spend_vnd,installs,bookings
2026-03-01,TP.HCM,Facebook Ads,37964,600,2384482,95,25
2026-03-01,TP.HCM,TikTok Ads,32455,721,2721343,77,17
2026-03-01,TP.HCM,Google Ads,20914,906,6009505,311,136
2026-03-01,TP.HCM,Zalo Ads,14961,265,822289,46,19
2026-03-01,Hà Nội,Facebook Ads,29272,392,1464914,59,14
2026-03-01,Hà Nội,TikTok Ads,25139,369,1354257,52,10
2026-03-01,Hà Nội,Google Ads,16183,564,3510227,146,73
2026-03-01,Hà Nội,Zalo Ads,11675,231,638106,34,13
2026-03-01,Đà Nẵng,Facebook Ads,10524,114,355319,19,10
2026-03-01,Đà Nẵng,TikTok Ads,9078,161,449706,16,5
2026-03-01,Đà Nẵng,Google Ads,5741,224,1131153,62,23
2026-03-01,Đà Nẵng,Zalo Ads,4232,90,198624,13,4
2026-03-01,Cần Thơ,Facebook Ads,7178,113,379226,14,4
2026-03-01,Cần Thơ,TikTok Ads,6109,108,247458,9,3
2026-03-01,Cần Thơ,Google Ads,4002,162,718486,47,23
2026-03-01,Cần Thơ,Zalo Ads,2833,60,116651,12,7
2026-03-02,TP.HCM,Facebook Ads,42114,610,2745209,101,21
2026-03-02,TP.HCM,TikTok Ads,35993,650,2625856,50,11
2026-03-02,TP.HCM,Google Ads,22961,710,4184720,140,61
2026-03-02,TP.HCM,Zalo Ads,16903,399,1213135,66,32
2026-03-02,Hà Nội,Facebook Ads,32890,424,1813000,71,23
2026-03-02,Hà Nội,TikTok Ads,27964,478,1503041,66,16
2026-03-02,Hà Nội,Google Ads,17805,720,4575438,159,69
2026-03-02,Hà Nội,Zalo Ads,12886,326,935964,54,26
2026-03-02,Đà Nẵng,Facebook Ads,11763,149,531329,20,11
2026-03-02,Đà Nẵng,TikTok Ads,10116,195,549021,27,3
2026-03-02,Đà Nẵng,Google Ads,6516,264,1534857,51,25
2026-03-02,Đà Nẵng,Zalo Ads,4674,120,291760,26,11
2026-03-02,Cần Thơ,Facebook Ads,8034,114,361613,14,3
2026-03-02,Cần Thơ,TikTok Ads,6961,121,348868,17,5
2026-03-02,Cần Thơ,Google Ads,4296,170,634695,36,12
2026-03-02,Cần Thơ,Zalo Ads,3122,72,171307,18,5
2026-03-03,TP.HCM,Facebook Ads,42126,524,2121259,89,32
2026-03-03,TP.HCM,TikTok Ads,35998,739,2340486,97,33
2026-03-03,TP.HCM,Google Ads,23121,828,5434802,143,75
2026-03-03,TP.HCM,Zalo Ads,17076,323,1020896,49,12
2026-03-03,Hà Nội,Facebook Ads,32976,379,1670567,29,5
2026-03-03,Hà Nội,TikTok Ads,27985,549,1724399,51,17
2026-03-03,Hà Nội,Google Ads,17817,780,4618234,150,61
2026-03-03,Hà Nội,Zalo Ads,13417,253,826250,53,21
2026-03-03,Đà Nẵng,Facebook Ads,11852,177,493797,14,4
2026-03-03,Đà Nẵng,TikTok Ads,9960,184,538650,26,7
2026-03-03,Đà Nẵng,Google Ads,6529,304,1508952,59,26
2026-03-03,Đà Nẵng,Zalo Ads,4581,106,207661,20,5
2026-03-03,Cần Thơ,Facebook Ads,7915,83,329162,11,5
2026-03-03,Cần Thơ,TikTok Ads,6790,124,358495,15,5
2026-03-03,Cần Thơ,Google Ads,4329,153,745980,45,14
2026-03-03,Cần Thơ,Zalo Ads,3161,59,120737,10,4
2026-03-04,TP.HCM,Facebook Ads,42412,585,2674299,91,41
2026-03-04,TP.HCM,TikTok Ads,35980,672,2600163,72,16
2026-03-04,TP.HCM,Google Ads,23362,812,5137420,184,68
2026-03-04,TP.HCM,Zalo Ads,17023,276,795354,50,22
2026-03-04,Hà Nội,Facebook Ads,33175,474,2058849,57,26
2026-03-04,Hà Nội,TikTok Ads,28138,477,1875755,72,15
2026-03-04,Hà Nội,Google Ads,18340,790,5113860,238,104
2026-03-04,Hà Nội,Zalo Ads,13200,344,1006694,48,18
2026-03-04,Đà Nẵng,Facebook Ads,11777,119,388070,11,3
2026-03-04,Đà Nẵng,TikTok Ads,9990,215,642327,29,8
2026-03-04,Đà Nẵng,Google Ads,6597,247,1410684,66,22
2026-03-04,Đà Nẵng,Zalo Ads,4917,105,225713,14,3
2026-03-04,Cần Thơ,Facebook Ads,8009,96,303615,6,3
2026-03-04,Cần Thơ,TikTok Ads,6831,143,305467,14,3
2026-03-04,Cần Thơ,Google Ads,4545,154,770899,37,14
2026-03-04,Cần Thơ,Zalo Ads,3171,73,175464,11,5
2026-03-05,TP.HCM,Facebook Ads,42260,496,2338818,60,18
2026-03-05,TP.HCM,TikTok Ads,36005,719,2661312,76,21
2026-03-05,TP.HCM,Google Ads,23126,808,4731981,162,92
2026-03-05,TP.HCM,Zalo Ads,17143,340,928178,52,26
2026-03-05,Hà Nội,Facebook Ads,32946,382,1746255,68,24
2026-03-05,Hà Nội,TikTok Ads,28129,520,1862895,54,12
2026-03-05,Hà Nội,Google Ads,18184,749,5021264,109,49
2026-03-05,Hà Nội,Zalo Ads,13126,317,1022251,56,29
2026-03-05,Đà Nẵng,Facebook Ads,11847,166,569289,20,8
2026-03-05,Đà Nẵng,TikTok Ads,10047,154,446831,12,2
2026-03-05,Đà Nẵng,Google Ads,6524,269,1363353,44,22
2026-03-05,Đà Nẵng,Zalo Ads,4842,138,291537,21,4
2026-03-05,Cần Thơ,Facebook Ads,8162,103,322929,18,4
2026-03-05,Cần Thơ,TikTok Ads,6819,135,345697,25,4
2026-03-05,Cần Thơ,Google Ads,4509,205,1066483,41,18
2026-03-05,Cần Thơ,Zalo Ads,3179,72,159210,12,4
2026-03-06,TP.HCM,Facebook Ads,42548,564,2500962,83,28
2026-03-06,TP.HCM,TikTok Ads,36334,514,1738563,50,19
2026-03-06,TP.HCM,Google Ads,23525,977,6276293,187,97
2026-03-06,TP.HCM,Zalo Ads,17056,393,1265371,75,30
2026-03-06,Hà Nội,Facebook Ads,33374,418,1685891,86,26
2026-03-06,Hà Nội,TikTok Ads,27966,587,2123169,48,7
2026-03-06,Hà Nội,Google Ads,18306,720,4544830,168,65
2026-03-06,Hà Nội,Zalo Ads,13180,369,1016936,62,25
2026-03-06,Đà Nẵng,Facebook Ads,12118,153,528001,17,8
